name,url,bounty,swag,domains
1inch,https://hackenproof.com/1inch/1inch-smart-contract,True,,[]
AAX,https://hackenproof.com/aax/aax,True,,['aax.com']
Allbridge,https://hackenproof.com/allbridge/allbridge,True,,['allbridge.io']
AlphaX,https://hackenproof.com/alphax/alphax-exchange,True,,"['https://alphax.com/', 'https://agent.alphax.com']"
AssetMantle,https://hackenproof.com/assetmantle/assetmantle,True,,[]
Asymetrix,https://hackenproof.com/asymetrix,True,,['asymetrix.io']
Aurora,https://hackenproof.com/aurora,True,,['aurora.plus']
Avalanche,https://hackenproof.com/avalanche,True,,"['avalabs.org', 'avax.network', 'avax-test.network', 'avax-dev.network']"
BigONE Global Exchange,https://hackenproof.com/bigone-global-exchange/bigone-global-exchange,True,,"['big.one', 'bigone.com']"
BingX Exchange,https://hackenproof.com/bingx/bingx-exchange,True,,"['bingx.com', 'bingx.pro']"
Bit.com,https://hackenproof.com/bit-dot-com/bit-dot-com,True,,['bit.com']
Bitcastle,https://hackenproof.com/bitcastle/bitcastle-web,True,,['bitcastle.io']
BitDelta,https://hackenproof.com/bitdelta/bitdelta-web,True,,['bitdelta.com']
Bitexen,https://hackenproof.com/bitexen,True,,['bitexen.com']
BitForex,https://hackenproof.com/bitforex/bitforex,True,,['bitforex.com']
Bitkub,https://hackenproof.com/bitkub/bitkub,True,,['bitkub.com']
BitMart Exchange,https://hackenproof.com/bitmart-exchange,True,,['bitmart.com']
Bitrue,https://hackenproof.com/bitrue/bitrue,True,,['bitrue.com']
BitStorage,https://hackenproof.com/bitstorage-finance/bitstorage-web-and-api,True,,['bitstorage.finance']
Bittrex,https://hackenproof.com/bittrex,True,,['bittrex.com']
BKEX,https://hackenproof.com/bkex/bkex,True,,"['bkk.fun', 'bkex.com']"
BloFin,https://hackenproof.com/blofin/blofin-web-and-mobile,True,,['https://blofin.com/']
Blueberry Protocol Foundation,https://hackenproof.com/blueberry-protocol-foundation/blueberry-protocol-smart-contracts,True,,[]
BTSE,https://hackenproof.com/btse/btse-bug-bounty-program,True,,['btse.com']
Camino Network,https://hackenproof.com/camino-network/camino-protocol,True,,[]
Camino Network,https://hackenproof.com/camino-network/camino-protocol,True,,[]
Chainstack,https://hackenproof.com/chainstack/chainstack,True,,"['chainstack.com', 'p2pify.com', 'chainstacklabs.com']"
CITEX Exchange,https://hackenproof.com/citex-exchange/citex-web-and-api,True,,"['citex.info', 'citex.io']"
Civic,https://hackenproof.com/civic/civic-smart-contracts,True,,[]
Coin98,https://hackenproof.com/coin98/coin98,True,,['coin98.com']
CoinGecko,https://hackenproof.com/coingecko/coingecko,True,,"['coingecko.com', 'geckoterminal.com']"
CoinMetro,https://hackenproof.com/coinmetro/coinmetro-exchange,True,,['coinmetro.com']
Coinsbit,https://hackenproof.com/coinsbit/coinsbit,True,,['coinsbit.io']
Coinstore,https://hackenproof.com/coinstore/coinstore,True,,['coinstore.com']
CoinTR Pro,https://hackenproof.com/cointr-pro/cointr-pro-mobile-and-api,True,,"['cointr.pro', 'cointr.com']"
CoinW,https://hackenproof.com/coinw/coinw-web-and-mobile,True,,['coinw.com']
Core,https://hackenproof.com/avalanche/core,True,,['core.app']
Cryptology,https://hackenproof.com/cryptology/cryptology,True,,['cryptology.com']
Deepcoin,https://hackenproof.com/deepcoin/deepcoin-web-and-mobile,True,,"['https://www.deepcoin.com/', 'https://www.deepcoin.com/en/apiPage']"
DeltaPrime,https://hackenproof.com/deltaprime/deltaprime-smart-contracts,True,,[]
Dex-Trade,https://hackenproof.com/dex-trade/dex-trade,True,,['dex-trade.com']
Dexalot,https://hackenproof.com/dexalot,True,,['dexalot.com']
DeXe Protocol,https://hackenproof.com/dexe-protocol/dexe-protocol-smart-contracts,True,,[]
DIFX,https://hackenproof.com/difx/difx,True,,['difx.com']
DODOEX,https://hackenproof.com/dodoex,True,,[]
ENVELOP,https://hackenproof.com/envelop/envelop-smart-contracts,True,,[]
EVAA,https://hackenproof.com/evaa,True,,['evaa.finance']
EXMO,https://hackenproof.com/exmo/exmo,True,,"['exmo.com', 'exmo.me']"
Exzi,https://hackenproof.com/exzi/exzi-web-and-mobile,True,,['https://exzi.com/']
Fastex,https://hackenproof.com/fastex/fastex-web,True,,[]
Filmio,https://hackenproof.com/filmio,True,,['film.io']
FitBurn,https://hackenproof.com/fitburn/fitburn-web-and-mobile,True,,['fitburn.ai']
Gate.io,https://hackenproof.com/gate-dot-io/gate-dot-io-exchange,True,,['gate.io']
HackenProof,https://hackenproof.com/hacken/hackenproof,True,,['hackenproof.com']
Horizon Protocol,https://hackenproof.com/horizon-protocol/horizon-protocol-smart-contracts,True,,[]
Hotbit,https://hackenproof.com/hotbit/hotbit,True,,['hotbit.io']
Huobi,https://hackenproof.com/huobi-global/huobi,True,,['huobi.com']
Impermax Finance,https://hackenproof.com/impermax-finance/impermax-finance-smart-contracts,True,,[]
IoTeX,https://hackenproof.com/iotex/iotex,True,,"['iotex.io', 'iotexscan.io', 'iotexscout.io', 'machinefi.com', 'iopay.me']"
JOJO,https://hackenproof.com/jojo/jojo-web,True,,['jojo.exchange']
KINZA,https://hackenproof.com/kinza/kinza-smart-contracts,True,,[]
Kolibrio,https://hackenproof.com/kolibrio/alfred-telegram-trading-bot,True,,[]
Kucoin,https://hackenproof.com/kucoin,True,,['kucoin.com']
Kuna Crypto Exchange,https://hackenproof.com/kuna/kuna-crypto-exchange,True,,['kuna.io']
LANCHAIN.IO,https://hackenproof.com/latoken/lachain-dot-io,True,,"['lachain.io', 'ladex.exchange']"
Latoken,https://hackenproof.com/latoken/latoken-exchange,True,,['latoken.com']
LCX,https://hackenproof.com/lcx/lcx,True,,['lcx.com']
LetsExchange,https://hackenproof.com/letsexchange/letsexchange-web-and-api,True,,['letsexchange.io']
Local Traders,https://hackenproof.com/local-traders/local-traders-smart-contracts,True,,[]
Local Traders,https://hackenproof.com/local-traders/local-traders-smart-contracts,True,,[]
Metamask,https://hackenproof.com/metamask/metamask-validator-staking-smart-contracts,True,,[]
Metis,https://hackenproof.com/metis/metis-smart-contracts,True,,[]
MyEtherWallet,https://hackenproof.com/myetherwallet,True,,['myetherwallet.com']
Mysten Labs,https://hackenproof.com/mysten-labs/sui-wallet,True,,[]
NEAR,https://hackenproof.com/near,True,,"['near.org', 'near.foundation']"
NiceHash,https://hackenproof.com/nicehash,True,,['nicehash.com']
NXT Technologies,https://hackenproof.com/nxt-technologies/nxt-permission-smart-contract,True,,[]
NXT Technologies,https://hackenproof.com/nxt-technologies/nxt-permission-smart-contract,True,,[]
Okcoin,https://hackenproof.com/okcoin/okcoin,True,,['okcoin.com']
OKX,https://hackenproof.com/okx-1/okx,True,,['okx.com']
Openware,https://hackenproof.com/openware/openware,True,,['yellow.org']
P2B Exchange,https://hackenproof.com/p2b-exchange/p2b-exchange,True,,['p2pb2b.com']
Pandora,https://hackenproof.com/pandora/pandora-web,True,,['pandora.digital']
Pionex,https://hackenproof.com/pionex/pionex-app-and-api,True,,['pionex.com']
Plisio,https://hackenproof.com/plisio/plisio,True,,['plisio.net']
PointPay,https://hackenproof.com/pointpay/pointpay-web-and-mobile,True,,['pointpay.io']
Polkalokr,https://hackenproof.com/polkalokr/polkalokr-1,True,,['polkalokr.com']
Poloniex,https://hackenproof.com/poloniex/poloniex-web-and-api,True,,"['poloniex.com', 'tms.polo-static.com', 'wgc.polo-static.com', 'v3.polo-static.com', 'api.poloniex.com', 'api2.poloniex.com', 'sapi.poloniex.com', 'api-docs.poloniex.com', 'ws.poloniex.com', 'ws-web.poloniex.com', 'x-api.poloniex.com']"
Polygon Technology,https://hackenproof.com/polygon-technology/polygon-pos,True,,[]
ProBit,https://hackenproof.com/probit-global/probit-web-and-mobile,True,,['probit.com']
PUMB.UA,https://hackenproof.com/pumb-dot-ua,True,,['pumb.ua']
Router,https://hackenproof.com/router/router-web,True,,['routerprotocol.com']
ShapeShift,https://hackenproof.com/fox-foundation/shapeshift,True,,['shapeshift.com']
Shido,https://hackenproof.com/shido/shido-network-protocol,True,,[]
SmarDex,https://hackenproof.com/smardex/smardex-smart-contracts,True,,[]
Smilee,https://hackenproof.com/smilee/smilee-smart-contracts,True,,[]
Status,https://hackenproof.com/status-dot-im/status,True,,['status.im']
Sui,https://hackenproof.com/sui/sui-protocol,True,,[]
Superfluid,https://hackenproof.com/superfluid/superfluid-super-token-smart-contracts,True,,[]
Ternoa,https://hackenproof.com/ternoa,True,,['ternoa.network']
TETU,https://hackenproof.com/tetu/tetu-smart-contracts,True,,[]
Tickets Travel Network,https://hackenproof.com/tickets-travel-network/tickets-travel-network-slash-updated-ui,True,,"['tickets.kz', 'tickets.ua', 'kissandfly.com', 'travelfrom.fr']"
Tokenize Xchange,https://hackenproof.com/tokenize-xchange/tokenize-xchange-web-and-mobile,True,,['https://tokenize.exchange/']
TON Diamonds,https://hackenproof.com/ton-diamonds/ton-diamonds-web,True,,['https://ton.diamonds/']
Toobit,https://hackenproof.com/toobit/toobit-web-and-mobile,True,,['toobit.com']
Trustee,https://hackenproof.com/trustee/trustee-plus-mobile,True,,[]
UACatsDivision,https://hackenproof.com/uacatsdivision,True,,['uacatsdivision.com']
Unicorn Ultra,https://hackenproof.com/unicorn-ultra/u2staking-web,True,,['https://staking.uniultra.xyz/']
Vaultka,https://hackenproof.com/vaultka/vaultka-smart-contracts,True,,[]
VeChain,https://hackenproof.com/vechain,True,,['vechain.org']
Vertex Protocol,https://hackenproof.com/vertex-protocol,True,,['vertexprotocol.com']
VirtuSwap,https://hackenproof.com/virtuswap/virtuswap-dex-app-1,True,,['virtuswap.io']
Waku,https://hackenproof.com/status-dot-im/waku,True,,[]
WhiteBIT,https://hackenproof.com/whitebit/whitebit,True,,['whitebit.com']
WhiteMarket,https://hackenproof.com/whitemarket/whitemarket-web,True,,['white.market']
XT,https://hackenproof.com/xt/xt,True,,['xt.com']
ZetaChain,https://hackenproof.com/zetachain,True,,"['https://www.zetachain.com/', 'https://www.zetachain.com/docs', 'https://labs.zetachain.com/', 'https://explorer.zetachain.com/', 'https://www.zetachain.com/ecosystem']"
