name,url,bounty,swag,domains
84codes,https://www.84codes.com/security,True,,"['cloudamqp.com', 'cloudkarafka.com', 'elephantsql.com', 'cloudmqtt.com']"
Achmea,https://www.achmea.nl/en/responsibledisclosure,True,,"['achmea.nl', 'syntrus.com', 'woonfonds.nl', 'fbto.nl', 'averoachmea.nl', 'union.sk', 'centraalbeheer.nl', 'defriesland.nl', 'eurocross.com', 'interpolis.nl', 'prolife.nl', 'zilverenkruis.nl', 'achmea.com.au', 'eurekosigorta.com.tr', 'interamerican.gr', 'actify.nl', 'onlia.ca']"
Adafruit,https://www.adafruit.com/reportingsecurityissues,True,,"['adafruit.com', 'adafruitdaily.com']"
Agicap,https://agicap.com/en/bug-bounty/,True,False,['agicap.com']
Amon,https://amon.tech/bug-bounty-program,True,False,['amon.tech']
Apple,https://security.apple.com,True,False,"['apple.com', 'icloud.com']"
Apsis,https://www.apsis.com/bug-bounty,True,,['apsis.com']
Arrival,https://arrival.com/legal/security#purpose,True,False,"['arrival.com', 'arrival.co']"
Automata Network,https://www.ata.network/bugbounty,True,,"['ata.network', '1rpc.io', '2fa.guru', 'nftfair.app', 'anydao.app', 'xata.fi']"
Avail Carsharing,https://availcarsharing.com/bug-bounty,True,False,['availcarsharing.com']
AVROTROS,https://www.avrotros.nl/privacy/responsible-disclosure/,True,,['avrotros.nl']
Baidu,https://bsrc.baidu.com/v2/#/en,True,,"['baidu.com', 'hao123.com']"
Bentley,https://www.bentley.com/legal/common-vulnerability-exposure-program/,True,,['bentley.com']
Bitfinex,https://www.bitfinex.com/bug-bounty/,True,,['bitfinex.com']
Bluesnap,https://home.bluesnap.com/security-bounty/,True,,['bluesnap.com']
BtcTurk,https://www.btcturk.com/odul-avciligi,True,False,['btcturk.com']
Buffer,https://buffer.com/legal#security,True,,['buffer.com']
BugBase,https://bugbase.in/programs/bugbase,True,True,['bugbase.in']
Bugv,https://app.bugv.io/researcher/program/0000001/detail,True,,['bugv.io']
Chargezoom,https://chargezoom.com/bugbounty/,True,,['payportal.net']
Clickup,https://clickup.com/bug-bounty,True,,['clickup.com']
Clio,https://support.clio.com/hc/en-us/articles/360001114273-How-do-I-Claim-a-Bug-Bounty-or-Report-a-Vulnerability-,True,,['clio.com']
CodeChef,https://www.codechef.com/bug-bounty-program,True,False,['codechef.com']
Compass Security,https://bugbounty.compass-security.com/bug-bounties/compass-bug-bounty,True,False,['compass-security.com']
Custellence,https://custellence.com/responsible-disclosure.html,True,,['custellence.com']
Cynical Technology,https://app.bugv.io/researcher/program/0000006/detail,True,,"['cynicaltechnology.com', 'cynicaltechnology.com.np', 'cynical.com.np']"
D66,https://d66.nl/responsible-disclosure/,True,,['d66.nl']
Danskebank,https://danskebank.com/responsible-disclosure,True,False,"['danskebank.com', 'danskebank.dk', 'june.dk', 'sunday.dk']"
Datto VDP,https://www.datto.com/legal/vulnerability-disclosure-program,True,True,"['autotask.net', 'backupify.com', 'bitdam.com', 'centrastage.net', 'cloudtrax.com', 'datto.com', 'dattobackup.com', 'gluh.co', 'openmesh.com', 'infocyte.com', 'soonr.com']"
Deutsche Telekom,https://www.telekom.com/en/corporate-responsibility/data-protection-data-security/security/details/closing-security-gaps-360054,True,,"['telekom.de', 'telekom.net', 'telekom.com', 't-systems.com']"
Discord,https://canary.discord.com/security,True,,['discord.com']
DJI,https://security.dji.com/policy?lang=en_US,True,,"['dji.com', 'skypixel.com', 'djicdn.com', 'djivideos.com', 'dji.net', 'robomaster.com', 'djiservice.org']"
Doist,https://todoist.com/help/articles/doist-bug-bounty-policy,True,,"['todoist.com', 'twist.com']"
Dokobit,https://www.dokobit.com/compliance/vulnerability-disclosure-policy,True,,['dokobit.com']
Easyname,https://www.easyname.de/de/support/easyname/253-bug-bounty-programm,True,,['easyname.com']
Easyprojects,https://www.easyprojects.net/company/vulnerability-reward-program/,True,,['easyprojects.net']
EC-Council,https://www.eccouncil.org/bug-bounty/,True,,['eccouncil.org']
Empuls,https://www.empuls.io/bug-bounty,True,,['empuls.io']
